id,layout_template,content_template,created_date,created_user,updated_date,updated_user
index,layout,index,2026-03-21T16:23:07.7503334+09:00,user,2026-03-21T16:28:55.7654234+09:00,user
019d0f46-be68-7da2-94d9-c193f40d087b,layout,content,2026-03-21T16:23:07.7611858+09:00,user,2026-03-21T16:28:38.1170102+09:00,user
019d0f4c-7959-7e80-a80f-4332f022cda6,layout,content,2026-03-21T16:29:23.293039+09:00,user,2026-03-21T16:29:26.9628671+09:00,user
019d0f4c-9463-7348-b29e-1fd92f2e25c0,layout,content,2026-03-21T16:29:30.2148067+09:00,user,0001-01-01T00:00:00Z,
019d0f4d-2602-7c06-a146-ec8afe3c6fae,layout,content,2026-03-21T16:30:07.4944613+09:00,user,2026-03-21T16:30:24.2653803+09:00,user
019d2696-6f3b-77fe-88bf-8a907515461e,layout,content,2026-03-26T05:01:26.337218+09:00,user,2026-03-26T05:01:30.144468+09:00,user
