id,parent_id,seq,type,name,detail,alias,publish_date,republish_date,created_date,created_user,updated_date,updated_user
index,,1,note,トップページ,,index,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,2026-03-21T16:23:07.751865+09:00,user,2026-03-21T16:28:55.7675074+09:00,user
019d0f46-be68-7da2-94d9-c193f40d087b,index,1,note,ことのはじまり,,019d0f46-be68-7da2-94d9-c193f40d087b,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,2026-03-21T16:23:07.7637719+09:00,user,2026-03-21T16:28:38.1196055+09:00,user
019d0f46-be88-76ab-8673-f0dee8535ce5,019d0f46-be68-7da2-94d9-c193f40d087b,1,diagram,Diagram,,019d0f46-be88-76ab-8673-f0dee8535ce5,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,2026-03-21T16:23:07.794955+09:00,user,2026-03-21T16:28:08.3818342+09:00,user
019d0f4c-7959-7e80-a80f-4332f022cda6,index,2,note,小ネタ,,019d0f4c-7959-7e80-a80f-4332f022cda6,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,2026-03-21T16:29:23.2957417+09:00,user,2026-03-21T16:29:26.9660678+09:00,user
019d0f4c-9463-7348-b29e-1fd92f2e25c0,019d0f4c-7959-7e80-a80f-4332f022cda6,1,note,New Note,,019d0f4c-9463-7348-b29e-1fd92f2e25c0,0001-01-01T00:00:00Z,0001-01-01T00:00:00Z,2026-03-21T16:29:30.218618+09:00,user,0001-01-01T00:00:00Z,
